feature,importance
hold_density,0.1813006
board_angle_deg,0.108418494
total_hold_count,0.066401936
avg_reach_cm,0.048417844
moves_count,0.036129173
hand_hold_count,0.02790248
avg_hand_to_foot_cm,0.023864917
hold_spread_x,0.02085592
height_span_cm,0.017916119
pose_com_travel,0.017084897
finish_y_cm,0.015323508
avg_foot_spread_cm,0.015199168
avg_vertical_cm,0.014665677
finish_height_pct,0.013789746
foot_hold_count,0.01374802
max_vertical_cm,0.013421574
min_reach_cm,0.012617151
total_centroid_x_cm,0.012614635
start_height_pct,0.012247566
direction_changes,0.011464362
lateral_span_cm,0.011075805
start_y_cm,0.01105792
pose_avg_hand_vel,0.010626766
crux_reach_ratio,0.010433336
avg_lateral_cm,0.009287548
pose_avg_hip_angle,0.008696545
foot_ratio,0.008684871
centroid_x_cm,0.008442146
avg_foot_hand_x_offset_cm,0.008022119
reach_cv,0.007624298
centroid_y_cm,0.0075262887
pose_avg_hip_ang_vel,0.007059126
finish_x_cm,0.0069818995
max_lateral_cm,0.0068586958
total_centroid_y_cm,0.006844338
pose_p10_hip_angle,0.006724857
vertical_ratio,0.0065794606
start_x_cm,0.0065255943
hold_spread_y,0.00649073
width_height_ratio,0.0064637493
max_foot_hand_x_offset_cm,0.005972123
path_linearity,0.0058635673
max_reach_z,0.0058266185
hand_foot_ratio,0.005804075
max_reach_cm,0.0057807076
reach_range_cm,0.005717409
lateral_ratio,0.0055927136
avg_move_angle_deg,0.0055227675
reach_std_cm,0.005455531
move_angle_std,0.0053969123
pose_avg_com_to_hands,0.005332123
zigzag_ratio,0.0051837247
pose_avg_foot_hand_diff,0.0050669373
pose_avg_hip_spread,0.0048989286
pose_min_elbow_r,0.0048172944
max_move_angle_deg,0.0047117067
dyno_score,0.0043677376
pose_hip_angle_range,0.004297925
pose_peak_com_vel,0.0040840367
pose_peak_elbow_ang_vel,0.0040277797
pose_min_hip_angle,0.003911143
pose_avg_com_vel,0.0038833423
pose_reach_asymmetry,0.0038537902
pose_avg_shoulder_l,0.0038531788
pose_peak_hand_vel,0.0036785838
dyno_flag,0.003333226
pose_avg_knee_r,0.0031176442
pose_avg_elbow_l,0.0029512087
pose_avg_knee_l,0.0027558333
pose_max_hip_spread,0.0026103235
pose_min_elbow_l,0.0025906984
pose_p90_tension,0.0025705993
pose_avg_tension,0.002282863
pose_avg_shoulder_r,0.0021126952
pose_pct_straight_l,0.0017471609
pose_min_knee,0.0016192135
pose_avg_elbow_r,0.0013701402
pose_pct_straight_r,0.0012658747
pose_elbow_asymmetry,0.0010597346
pose_pct_high_feet,0.00032227405
sloper_ratio,0.0
typed_ratio,0.0
jug_ratio,0.0
pinch_ratio,0.0
crimp_ratio,0.0
